concept_name,source_concept_id,source_vocabulary_id,source_domain_id,source_concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason,target_concept_id,relationship_id,reverese_relationship_id,relationship_valid_start_date,relationship_end_date,invalid_reason_cr
PIPERACILLIN | 409-3,2000025001,mimiciv_micro_antibiotic,Measurement,Lab Test,,PIPERACILLIN,1970-01-01,2099-12-31,,3021988,Maps to,Mapped from,1970-01-01,2099-12-31,
RIFAMPIN | 429-1,2000025002,mimiciv_micro_antibiotic,Measurement,Lab Test,,RIFAMPIN,1970-01-01,2099-12-31,,3037153,Maps to,Mapped from,1970-01-01,2099-12-31,
AMPICILLIN | 29-9,2000025003,mimiciv_micro_antibiotic,Measurement,Lab Test,,AMPICILLIN,1970-01-01,2099-12-31,,3017595,Maps to,Mapped from,1970-01-01,2099-12-31,
CEFUROXIME | 146-1,2000025004,mimiciv_micro_antibiotic,Measurement,Lab Test,,CEFUROXIME,1970-01-01,2099-12-31,,3018012,Maps to,Mapped from,1970-01-01,2099-12-31,
AMPICILLIN/SULBACTAM | 33-1,2000025005,mimiciv_micro_antibiotic,Measurement,Lab Test,,AMPICILLIN/SULBACTAM,1970-01-01,2099-12-31,,3016573,Maps to,Mapped from,1970-01-01,2099-12-31,
LINEZOLID | 29255-7,2000025006,mimiciv_micro_antibiotic,Measurement,Lab Test,,LINEZOLID,1970-01-01,2099-12-31,,3000941,Maps to,Mapped from,1970-01-01,2099-12-31,
CHLORAMPHENICOL | 174-3,2000025007,mimiciv_micro_antibiotic,Measurement,Lab Test,,CHLORAMPHENICOL,1970-01-01,2099-12-31,,3024716,Maps to,Mapped from,1970-01-01,2099-12-31,
CEFAZOLIN | 77-8,2000025008,mimiciv_micro_antibiotic,Measurement,Lab Test,,CEFAZOLIN,1970-01-01,2099-12-31,,3004354,Maps to,Mapped from,1970-01-01,2099-12-31,
CLINDAMYCIN | 194-1,2000025009,mimiciv_micro_antibiotic,Measurement,Lab Test,,CLINDAMYCIN,1970-01-01,2099-12-31,,3005158,Maps to,Mapped from,1970-01-01,2099-12-31,
PENICILLIN G | 393-9,2000025010,mimiciv_micro_antibiotic,Measurement,Lab Test,,PENICILLIN G,1970-01-01,2099-12-31,,3023307,Maps to,Mapped from,1970-01-01,2099-12-31,
PIPERACILLIN/TAZO | 413-5,2000025011,mimiciv_micro_antibiotic,Measurement,Lab Test,,PIPERACILLIN/TAZO,1970-01-01,2099-12-31,,3016242,Maps to,Mapped from,1970-01-01,2099-12-31,
DAPTOMYCIN | 35787-1,2000025012,mimiciv_micro_antibiotic,Measurement,Lab Test,,DAPTOMYCIN,1970-01-01,2099-12-31,,3034593,Maps to,Mapped from,1970-01-01,2099-12-31,
IMIPENEM | 280-8,2000025013,mimiciv_micro_antibiotic,Measurement,Lab Test,,IMIPENEM,1970-01-01,2099-12-31,,3003793,Maps to,Mapped from,1970-01-01,2099-12-31,
CEFPODOXIME | 121-4,2000025014,mimiciv_micro_antibiotic,Measurement,Lab Test,,CEFPODOXIME,1970-01-01,2099-12-31,,3019476,Maps to,Mapped from,1970-01-01,2099-12-31,
