concept_name,source_concept_id,source_vocabulary_id,source_domain_id,source_concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason,target_concept_id,relationship_id,reverese_relationship_id,relationship_valid_start_date,relationship_end_date,invalid_reason_cr
Alveolar-arterial Gradient|Blood|Blood Gas,2000001001,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50801,1970-01-01,2099-12-31,,3007913,Maps to,Mapped from,1970-01-01,2099-12-31,
Base Excess|Blood|Blood Gas,2000001002,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50802,1970-01-01,2099-12-31,,3012501,Maps to,Mapped from,1970-01-01,2099-12-31,
Calculated Total CO2|Blood|Blood Gas,2000001003,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50804,1970-01-01,2099-12-31,,3031147,Maps to,Mapped from,1970-01-01,2099-12-31,
"Chloride, Whole Blood|Blood|Blood Gas",2000001004,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50806,1970-01-01,2099-12-31,,3018572,Maps to,Mapped from,1970-01-01,2099-12-31,
Free Calcium|Blood|Blood Gas,2000001005,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50808,1970-01-01,2099-12-31,,3021119,Maps to,Mapped from,1970-01-01,2099-12-31,
Glucose|Blood|Blood Gas,2000001006,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50809,1970-01-01,2099-12-31,,3000483,Maps to,Mapped from,1970-01-01,2099-12-31,
"Hematocrit, Calculated|Blood|Blood Gas",2000001007,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50810,1970-01-01,2099-12-31,,3009542,Maps to,Mapped from,1970-01-01,2099-12-31,
Hemoglobin|Blood|Blood Gas,2000001008,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50811,1970-01-01,2099-12-31,,3000963,Maps to,Mapped from,1970-01-01,2099-12-31,
Intubated|Blood|Blood Gas,2000001009,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50812,1970-01-01,2099-12-31,,45884415,Maps to,Mapped from,1970-01-01,2099-12-31,
Lactate|Blood|Blood Gas,2000001010,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50813,1970-01-01,2099-12-31,,3047181,Maps to,Mapped from,1970-01-01,2099-12-31,
O2 Flow|Blood|Blood Gas,2000001011,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50815,1970-01-01,2099-12-31,,3005629,Maps to,Mapped from,1970-01-01,2099-12-31,
Oxygen|Blood|Blood Gas,2000001012,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50816,1970-01-01,2099-12-31,,3024882,Maps to,Mapped from,1970-01-01,2099-12-31,
Oxygen Saturation|Blood|Blood Gas,2000001013,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50817,1970-01-01,2099-12-31,,3013502,Maps to,Mapped from,1970-01-01,2099-12-31,
pCO2|Blood|Blood Gas,2000001014,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50818,1970-01-01,2099-12-31,,3013290,Maps to,Mapped from,1970-01-01,2099-12-31,
PEEP|Blood|Blood Gas,2000001015,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50819,1970-01-01,2099-12-31,,3022875,Maps to,Mapped from,1970-01-01,2099-12-31,
pH|Blood|Blood Gas,2000001016,mimiciv_meas_lab_loinc,Measurement,Lab Test,,50820,1970-01-01,2099-12-31,,3010421,Maps to,Mapped from,1970-01-01,2099-12-31,
