"concept_name","source_concept_id","source_vocabulary_id","source_domain_id","source_concept_class_id","standard_concept","concept_code","valid_start_date","valid_end_date","invalid_reason","target_concept_id","relationship_id","reverese_relationship_id","relationship_valid_start_date","relationship_end_date","invalid_reason_cr"
"L/min/m2",2000000001,"mimiciv_mimic_generated","Unit","Unit","S","L/min/m2","1970-01-01","2099-12-31",,0,"Maps to","Mapped from","1970-01-01","2099-12-31",
"dynes.sec.cm-5/m2",2000000002,"mimiciv_mimic_generated","Unit","Unit","S","dynes.sec.cm-5/m2","1970-01-01","2099-12-31",,0,"Maps to","Mapped from","1970-01-01","2099-12-31",
"Intravenous Continous",2000000005,"mimiciv_mimic_generated","Type Concept","Drug Type","S","Intravenous Continous","1970-01-01","2099-12-31",,0,"Maps to","Mapped from","1970-01-01","2099-12-31",
"Intravenous Bolus",2000000004,"mimiciv_mimic_generated","Type Concept","Drug Type","S","Intravenous Bolus","1970-01-01","2099-12-31",,0,"Maps to","Mapped from","1970-01-01","2099-12-31",
"Labs - Culture Organisms",2000000007,"mimiciv_mimic_generated","Type Concept","Meas Type","S","Labs - Culture Organisms","1970-01-01","2099-12-31",,0,"Maps to","Mapped from","1970-01-01","2099-12-31",
"Labs - Chemistry",2000000011,"mimiciv_mimic_generated","Type Concept","Meas Type","S","Labs - Chemistry","1970-01-01","2099-12-31",,0,"Maps to","Mapped from","1970-01-01","2099-12-31",
"Labs - Culture Sensitivity",2000000008,"mimiciv_mimic_generated","Type Concept","Meas Type","S","Labs - Culture Sensitivity","1970-01-01","2099-12-31",,0,"Maps to","Mapped from","1970-01-01","2099-12-31",
"Labs - Hemato",2000000009,"mimiciv_mimic_generated","Type Concept","Meas Type","S","Labs - Hemato","1970-01-01","2099-12-31",,0,"Maps to","Mapped from","1970-01-01","2099-12-31",
"Labs - Blood Gaz",2000000010,"mimiciv_mimic_generated","Type Concept","Meas Type","S","Labs - Blood Gaz","1970-01-01","2099-12-31",,0,"Maps to","Mapped from","1970-01-01","2099-12-31",
"Output Event",2000000003,"mimiciv_mimic_generated","Type Concept","Meas Type","S","Output Event","1970-01-01","2099-12-31",,0,"Maps to","Mapped from","1970-01-01","2099-12-31",
"Ward and physical location",2000000006,"mimiciv_mimic_generated","Type Concept","Visit Type","S","Ward and physical location","1970-01-01","2099-12-31",,0,"Maps to","Mapped from","1970-01-01","2099-12-31",
"Stroke Volume Variation",2000000000,"mimiciv_mimic_generated","Measurement","Clinical Observation","S","Stroke Volume Variation","1970-01-01","2099-12-31",,0,"Maps to","Mapped from","1970-01-01","2099-12-31",
"Visit Detail",2000000012,"mimiciv_mimic_generated","Metadata","Domain","S","Visit Detail","1970-01-01","2099-12-31",,0,"Maps to","Mapped from","1970-01-01","2099-12-31",
"Unwkown Ward",2000000013,"mimiciv_mimic_generated","Visit Detail","Visit_detail","S","Unwkown Ward","1970-01-01","2099-12-31",,0,"Maps to","Mapped from","1970-01-01","2099-12-31",
