concept_name,source_concept_id,source_vocabulary_id,source_domain_id,source_concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason,target_concept_id,relationship_id,reverese_relationship_id,relationship_valid_start_date,relationship_end_date,invalid_reason_cr
ESCHERICHIA COLI,2000026001,mimiciv_micro_organism,Observation,Organism,,80002,1970-01-01,2099-12-31,,4011683,Maps to,Mapped from,1970-01-01,2099-12-31,
GRAM NEGATIVE COCCI,2000026002,mimiciv_micro_organism,Observation,Organism,,80003,1970-01-01,2099-12-31,,4081940,Maps to,Mapped from,1970-01-01,2099-12-31,
KLEBSIELLA PNEUMONIAE,2000026003,mimiciv_micro_organism,Observation,Organism,,80004,1970-01-01,2099-12-31,,4209452,Maps to,Mapped from,1970-01-01,2099-12-31,
KLEBSIELLA OXYTOCA,2000026004,mimiciv_micro_organism,Observation,Organism,,80005,1970-01-01,2099-12-31,,4254213,Maps to,Mapped from,1970-01-01,2099-12-31,
KLEBSIELLA OZAENAE,2000026005,mimiciv_micro_organism,Observation,Organism,,80006,1970-01-01,2099-12-31,,4275741,Maps to,Mapped from,1970-01-01,2099-12-31,
ENTEROBACTER AEROGENES,2000026006,mimiciv_micro_organism,Observation,Organism,,80007,1970-01-01,2099-12-31,,4267438,Maps to,Mapped from,1970-01-01,2099-12-31,
ENTEROBACTER CLOACAE,2000026007,mimiciv_micro_organism,Observation,Organism,,80008,1970-01-01,2099-12-31,,4030716,Maps to,Mapped from,1970-01-01,2099-12-31,
HAFNIA ALVEI,2000026008,mimiciv_micro_organism,Observation,Organism,,80009,1970-01-01,2099-12-31,,4295899,Maps to,Mapped from,1970-01-01,2099-12-31,
ENTEROBACTER AGGLOMERANS,2000026009,mimiciv_micro_organism,Observation,Organism,,80010,1970-01-01,2099-12-31,,4018788,Maps to,Mapped from,1970-01-01,2099-12-31,
ENTEROBACTER GERGOVIAE,2000026010,mimiciv_micro_organism,Observation,Organism,,80011,1970-01-01,2099-12-31,,37396510,Maps to,Mapped from,1970-01-01,2099-12-31,
CRONOBACTER (ENTEROBACTER) SAKAZAKII,2000026011,mimiciv_micro_organism,Observation,Organism,,80012,1970-01-01,2099-12-31,,40484223,Maps to,Mapped from,1970-01-01,2099-12-31,
SERRATIA LIQUEFACIENS,2000026012,mimiciv_micro_organism,Observation,Organism,,80013,1970-01-01,2099-12-31,,4028952,Maps to,Mapped from,1970-01-01,2099-12-31,
SERRATIA MARCESCENS,2000026013,mimiciv_micro_organism,Observation,Organism,,80014,1970-01-01,2099-12-31,,4140691,Maps to,Mapped from,1970-01-01,2099-12-31,
SERRATIA RUBIDAEA,2000026014,mimiciv_micro_organism,Observation,Organism,,80015,1970-01-01,2099-12-31,,4183695,Maps to,Mapped from,1970-01-01,2099-12-31,
PROTEUS VULGARIS,2000026015,mimiciv_micro_organism,Observation,Organism,,80016,1970-01-01,2099-12-31,,4164566,Maps to,Mapped from,1970-01-01,2099-12-31,
PROTEUS MIRABILIS,2000026016,mimiciv_micro_organism,Observation,Organism,,80017,1970-01-01,2099-12-31,,4248426,Maps to,Mapped from,1970-01-01,2099-12-31,
MORGANELLA MORGANII,2000026017,mimiciv_micro_organism,Observation,Organism,,80018,1970-01-01,2099-12-31,,4348164,Maps to,Mapped from,1970-01-01,2099-12-31,
PROVIDENCIA STUARTII,2000026018,mimiciv_micro_organism,Observation,Organism,,80019,1970-01-01,2099-12-31,,4031192,Maps to,Mapped from,1970-01-01,2099-12-31,
PROVIDENCIA RETTGERI,2000026019,mimiciv_micro_organism,Observation,Organism,,80020,1970-01-01,2099-12-31,,4030558,Maps to,Mapped from,1970-01-01,2099-12-31,
SHIGELLA FLEXNERI,2000026020,mimiciv_micro_organism,Observation,Organism,,80021,1970-01-01,2099-12-31,,4311807,Maps to,Mapped from,1970-01-01,2099-12-31,
SALMONELLA ENTERITIDIS,2000026021,mimiciv_micro_organism,Observation,Organism,,80022,1970-01-01,2099-12-31,,4249155,Maps to,Mapped from,1970-01-01,2099-12-31,
STAPH AUREUS COAG +,2000026022,mimiciv_micro_organism,Observation,Organism,,80023,1970-01-01,2099-12-31,,4149419,Maps to,Mapped from,1970-01-01,2099-12-31,
STAPHYLOCOCCUS EPIDERMIDIS,2000026023,mimiciv_micro_organism,Observation,Organism,,80024,1970-01-01,2099-12-31,,4246180,Maps to,Mapped from,1970-01-01,2099-12-31,
CITROBACTER AMALONATICUS,2000026024,mimiciv_micro_organism,Observation,Organism,,80025,1970-01-01,2099-12-31,,4205585,Maps to,Mapped from,1970-01-01,2099-12-31,
PSEUDOMONAS AERUGINOSA,2000026025,mimiciv_micro_organism,Observation,Organism,,80026,1970-01-01,2099-12-31,,4198675,Maps to,Mapped from,1970-01-01,2099-12-31,
PSEUDOMONAS SPECIES,2000026026,mimiciv_micro_organism,Observation,Organism,,80029,1970-01-01,2099-12-31,,4211547,Maps to,Mapped from,1970-01-01,2099-12-31,
BORDETELLA BRONCHISEPTICA,2000026027,mimiciv_micro_organism,Observation,Organism,,80030,1970-01-01,2099-12-31,,4024720,Maps to,Mapped from,1970-01-01,2099-12-31,
MORAXELLA SPECIES,2000026028,mimiciv_micro_organism,Observation,Organism,,80031,1970-01-01,2099-12-31,,4263926,Maps to,Mapped from,1970-01-01,2099-12-31,
AEROMONAS HYDROPHILA,2000026029,mimiciv_micro_organism,Observation,Organism,,80032,1970-01-01,2099-12-31,,4312105,Maps to,Mapped from,1970-01-01,2099-12-31,
VIBRIO SPECIES,2000026030,mimiciv_micro_organism,Observation,Organism,,80033,1970-01-01,2099-12-31,,4146528,Maps to,Mapped from,1970-01-01,2099-12-31,
PASTEURELLA MULTOCIDA,2000026031,mimiciv_micro_organism,Observation,Organism,,80034,1970-01-01,2099-12-31,,4032583,Maps to,Mapped from,1970-01-01,2099-12-31,
EIKENELLA CORRODENS,2000026032,mimiciv_micro_organism,Observation,Organism,,80035,1970-01-01,2099-12-31,,4200857,Maps to,Mapped from,1970-01-01,2099-12-31,
ANAEROBIC GRAM NEGATIVE ROD(S),2000026033,mimiciv_micro_organism,Observation,Organism,,80036,1970-01-01,2099-12-31,,4019394,Maps to,Mapped from,1970-01-01,2099-12-31,
GRAM VARIABLE RODS,2000026034,mimiciv_micro_organism,Observation,Organism,,80037,1970-01-01,2099-12-31,,4348425,Maps to,Mapped from,1970-01-01,2099-12-31,
CLOSTRIDIUM PERFRINGENS,2000026035,mimiciv_micro_organism,Observation,Organism,,80038,1970-01-01,2099-12-31,,4307974,Maps to,Mapped from,1970-01-01,2099-12-31,
CLOSTRIDIUM SPECIES,2000026036,mimiciv_micro_organism,Observation,Organism,,80039,1970-01-01,2099-12-31,,4218244,Maps to,Mapped from,1970-01-01,2099-12-31,
NEISSERIA GONORRHOEAE,2000026037,mimiciv_micro_organism,Observation,Organism,,80040,1970-01-01,2099-12-31,,4285582,Maps to,Mapped from,1970-01-01,2099-12-31,
NEISSERIA MENINGITIDIS,2000026038,mimiciv_micro_organism,Observation,Organism,,80041,1970-01-01,2099-12-31,,4076436,Maps to,Mapped from,1970-01-01,2099-12-31,
NEISSERIA SPECIES,2000026039,mimiciv_micro_organism,Observation,Organism,,80042,1970-01-01,2099-12-31,,4244123,Maps to,Mapped from,1970-01-01,2099-12-31,
HAEMOPHILUS PARAINFLUENZAE,2000026040,mimiciv_micro_organism,Observation,Organism,,80043,1970-01-01,2099-12-31,,4197565,Maps to,Mapped from,1970-01-01,2099-12-31,
HAEMOPHILUS SP,2000026041,mimiciv_micro_organism,Observation,Organism,,80044,1970-01-01,2099-12-31,,4323572,Maps to,Mapped from,1970-01-01,2099-12-31,
BETA STREPTOCOCCUS GROUP B,2000026042,mimiciv_micro_organism,Observation,Organism,,80045,1970-01-01,2099-12-31,,4183468,Maps to,Mapped from,1970-01-01,2099-12-31,
BETA STREPTOCOCCUS GROUP C,2000026043,mimiciv_micro_organism,Observation,Organism,,80046,1970-01-01,2099-12-31,,4229618,Maps to,Mapped from,1970-01-01,2099-12-31,
BETA STREPTOCOCCUS GROUP G,2000026044,mimiciv_micro_organism,Observation,Organism,,80047,1970-01-01,2099-12-31,,4326764,Maps to,Mapped from,1970-01-01,2099-12-31,
BETA STREPTOCOCCUS,2000026045,mimiciv_micro_organism,Observation,Organism,,80048,1970-01-01,2099-12-31,,4200707,Maps to,Mapped from,1970-01-01,2099-12-31,
STREPTOCOCCUS MITIS,2000026046,mimiciv_micro_organism,Observation,Organism,,80049,1970-01-01,2099-12-31,,4237427,Maps to,Mapped from,1970-01-01,2099-12-31,
STREPTOCOCCUS SANGUIS,2000026047,mimiciv_micro_organism,Observation,Organism,,80051,1970-01-01,2099-12-31,,4015549,Maps to,Mapped from,1970-01-01,2099-12-31,
ALPHA STREPTOCOCCI,2000026048,mimiciv_micro_organism,Observation,Organism,,80052,1970-01-01,2099-12-31,,4246064,Maps to,Mapped from,1970-01-01,2099-12-31,
ENTEROCOCCUS SP.,2000026049,mimiciv_micro_organism,Observation,Organism,,80053,1970-01-01,2099-12-31,,4101235,Maps to,Mapped from,1970-01-01,2099-12-31,
BETA STREPTOCOCCUS GROUP A,2000026050,mimiciv_micro_organism,Observation,Organism,,80054,1970-01-01,2099-12-31,,4187877,Maps to,Mapped from,1970-01-01,2099-12-31,
GRAM POSITIVE COCCUS(COCCI),2000026051,mimiciv_micro_organism,Observation,Organism,,80055,1970-01-01,2099-12-31,,4241096,Maps to,Mapped from,1970-01-01,2099-12-31,
GRAM POSITIVE RODS,2000026052,mimiciv_micro_organism,Observation,Organism,,80056,1970-01-01,2099-12-31,,4306758,Maps to,Mapped from,1970-01-01,2099-12-31,
GRAM NEGATIVE DIPLOCOCCI,2000026053,mimiciv_micro_organism,Observation,Organism,,80057,1970-01-01,2099-12-31,,4308411,Maps to,Mapped from,1970-01-01,2099-12-31,
GRAM NEGATIVE ROD(S),2000026054,mimiciv_micro_organism,Observation,Organism,,80058,1970-01-01,2099-12-31,,4336840,Maps to,Mapped from,1970-01-01,2099-12-31,
CANDIDA SPECIES,2000026055,mimiciv_micro_organism,Observation,Organism,,80059,1970-01-01,2099-12-31,,4139129,Maps to,Mapped from,1970-01-01,2099-12-31,
CANDIDA ALBICANS,2000026056,mimiciv_micro_organism,Observation,Organism,,80060,1970-01-01,2099-12-31,,4200556,Maps to,Mapped from,1970-01-01,2099-12-31,
RHODOTORULA SPECIES,2000026057,mimiciv_micro_organism,Observation,Organism,,80061,1970-01-01,2099-12-31,,4198407,Maps to,Mapped from,1970-01-01,2099-12-31,
ASPERGILLUS NIGER,2000026058,mimiciv_micro_organism,Observation,Organism,,80062,1970-01-01,2099-12-31,,4231112,Maps to,Mapped from,1970-01-01,2099-12-31,
ASPERGILLUS SPECIES,2000026059,mimiciv_micro_organism,Observation,Organism,,80063,1970-01-01,2099-12-31,,4085138,Maps to,Mapped from,1970-01-01,2099-12-31,
PENICILLIUM SPECIES,2000026060,mimiciv_micro_organism,Observation,Organism,,80064,1970-01-01,2099-12-31,,4180730,Maps to,Mapped from,1970-01-01,2099-12-31,
CRYPTOCOCCUS NEOFORMANS,2000026061,mimiciv_micro_organism,Observation,Organism,,80065,1970-01-01,2099-12-31,,4284105,Maps to,Mapped from,1970-01-01,2099-12-31,
ASPERGILLUS FUMIGATUS,2000026062,mimiciv_micro_organism,Observation,Organism,,80066,1970-01-01,2099-12-31,,4139597,Maps to,Mapped from,1970-01-01,2099-12-31,
NOCARDIA ASTEROIDES,2000026063,mimiciv_micro_organism,Observation,Organism,,80067,1970-01-01,2099-12-31,,4146906,Maps to,Mapped from,1970-01-01,2099-12-31,
NOCARDIA SPECIES,2000026064,mimiciv_micro_organism,Observation,Organism,,80068,1970-01-01,2099-12-31,,4245771,Maps to,Mapped from,1970-01-01,2099-12-31,
MYCOBACTERIUM TUBERCULOSIS,2000026065,mimiciv_micro_organism,Observation,Organism,,80069,1970-01-01,2099-12-31,,4034215,Maps to,Mapped from,1970-01-01,2099-12-31,
GRAM NEGATIVE ROD #1,2000026066,mimiciv_micro_organism,Observation,Organism,,80070,1970-01-01,2099-12-31,,4336840,Maps to,Mapped from,1970-01-01,2099-12-31,
