row_id,line_1,line_2,line_3
1,189,189,198
2,184,187,192
3,179,185,186
4,174,183,180
5,169,181,173
6,164,178,167
7,158,176,160
8,153,174,152
9,147,171,144
10,141,168,136
11,134,166,128
12,128,163,118
13,121,159,109
14,114,156,100
15,107,153,90
16,99,149,81
17,92,146,71
18,84,143,62
19,77,139,52
20,70,136,43
21,63,133,34
22,56,130,26
23,50,127,18
24,44,124,10
25,39,121,3
26,33,119,-3
27,29,117,-9
28,25,115,-15
29,23,113,-19
30,18,112,-23
31,16,110,-26
32,13,109,-29
33,12,108,-31
34,10,108,-32
35,9,107,-33
36,9,107,-33
37,8,107,-33
38,8,107,-32
39,9,107,-31
40,9,108,-30
41,10,108,-28
42,11,109,-26
43,12,110,-24
44,14,110,-22
45,14,111,-19
46,17,112,-16
47,19,113,-14
48,21,114,-11
49,23,115,-8
50,25,116,-5
51,27,117,-2
52,29,119,0
53,31,120,2
54,33,121,5
55,34,122,7
56,36,124,9
57,38,125,12
58,39,126,14
59,41,128,16
60,42,129,18
61,43,130,22
62,44,132,21
63,45,133,23
64,46,134,24
65,47,135,25
66,47,136,26
67,48,138,26
68,48,138,27
69,48,139,27
70,48,140,28
71,48,141,28
72,48,142,28
73,48,142,28
74,48,143,29
75,48,143,29
76,48,144,30
77,48,145,30
78,49,145,30
79,49,146,31
80,49,146,31
81,49,147,32
82,49,147,33
83,50,148,33
84,51,149,34
85,52,150,35
86,53,152,36
87,55,155,38
88,57,158,40
89,60,163,42
90,64,169,45
91,67,176,48
92,72,184,52
93,76,193,55
94,81,202,58
95,85,212,61
96,89,222,64
97,94,231,67
98,97,241,70
99,101,250,73
100,105,260,76
101,110,270,80
102,114,281,84
103,119,293,89
104,125,305,94
105,130,317,100
106,135,329,105
107,140,339,110
108,144,348,115
109,147,353,118
110,149,356,120
111,150,355,121
112,149,351,121
113,147,344,119
114,144,335,117
115,140,325,114
116,136,314,110
117,131,302,106
118,126,289,101
119,121,277,97
120,116,264,92
121,110,252,88
122,105,240,83
123,99,228,79
124,93,217,74
125,88,206,70
126,82,197,65
127,77,188,61
128,72,180,56
129,67,172,52
130,62,165,47
131,57,158,43
132,52,151,40
133,48,145,36
134,44,140,33
135,41,134,30
136,37,129,28
137,35,124,26
138,32,119,24
139,30,115,23
140,29,112,22
141,28,108,21
142,27,106,21
143,27,104,21
144,27,102,21
145,28,100,22
146,28,99,23
147,29,98,24
148,30,97,25
149,31,96,27
150,32,96,28
151,33,95,29
152,34,95,30
153,35,95,30
154,35,94,31
155,36,94,31
156,36,94,31
157,36,94,31
158,36,94,30
159,36,94,29
160,35,93,28
161,35,93,27
162,34,93,25
163,33,93,23
164,32,93,22
165,31,93,19
166,30,93,17
167,28,93,15
168,27,93,15
169,26,94,10
170,25,95,8
171,24,97,7
172,25,100,8
173,28,105,14
174,34,112,20
175,43,120,33
176,56,129,53
177,74,139,80
178,96,147,114
179,124,152,156
180,155,152,204
181,190,148,257
182,228,138,314
183,268,122,373
184,306,100,431
185,343,74,487
186,376,45,539
187,404,15,585
188,426,-14,626
189,443,-44,661
190,454,-73,689
191,457,-104,707
192,452,-135,713
193,436,-167,704
194,408,-199,675
195,364,-232,621
196,302,-262,536
197,219,-291,420
198,117,-315,274
199,-1,-335,101
200,-134,-352,-91
201,-271,-363,-293
202,-404,-371,-488
203,-522,-374,-663
204,-617,-375,-803
205,-682,-372,-900
206,-715,-365,-952
207,-718,-355,-961
208,-694,-341,-929
209,-648,-322,-867
210,-587,-297,-787
211,-518,-268,-698
212,-448,-233,-608
213,-380,-195,-522
214,-317,-154,-443
215,-260,-112,-373
216,-209,-69,-310
217,-163,-28,-254
218,-123,10,-205
219,-89,47,-162
220,-58,79,-125
221,-32,107,-91
222,-10,130,-62
223,8,150,-37
224,24,166,-16
225,37,178,1
226,48,188,18
227,56,196,29
228,63,202,38
229,69,206,46
230,73,210,53
231,77,212,58
232,80,214,62
233,83,215,65
234,85,216,68
235,87,217,71
236,89,218,73
237,90,219,75
238,92,220,77
239,93,220,78
240,94,221,79
241,95,221,81
242,96,222,82
243,97,222,83
244,98,223,84
245,99,223,85
246,100,223,87
247,101,224,88
248,102,224,90
249,103,225,91
250,104,225,93
251,106,225,95
252,107,226,97
253,109,226,100
254,111,227,102
255,113,227,105
256,114,228,108
257,116,228,111
258,118,229,114
259,120,229,117
260,123,229,120
261,125,230,124
262,127,230,127
263,129,230,131
264,131,230,134
265,133,231,138
266,135,231,141
267,138,231,145
268,140,231,149
269,142,231,153
270,144,231,157
271,147,231,161
272,149,231,164
273,151,232,168
274,154,232,172
275,156,232,176
276,158,232,180
277,161,231,183
278,163,231,186
279,166,231,190
280,169,231,193
281,171,231,196
282,174,231,200
283,177,231,203
284,180,230,207
285,183,230,211
286,187,230,215
287,190,230,219
288,194,230,224
289,197,230,228
290,201,230,233
291,205,229,238
292,209,229,243
293,212,229,248
294,216,228,253
295,220,228,257
296,223,227,262
297,227,227,266
298,230,226,270
299,233,225,274
300,236,224,277
301,239,224,280
302,241,223,282
303,243,222,284
304,244,221,285
305,245,220,285
306,245,219,285
307,245,218,285
308,245,217,284
309,244,216,282
310,243,214,279
311,241,213,276
312,239,211,273
313,237,210,269
314,234,208,264
315,231,207,259
316,227,205,254
317,223,203,249
318,219,201,243
319,215,199,238
320,211,198,232
321,206,196,227
322,201,194,221
323,196,192,216
324,192,190,210
325,186,188,204
326,181,185,197
327,176,183,190
