linksto,itemid,label,source_code,source_vocabulary_id,source_domain_id,source_concept_id,source_concept_name,target_vocabulary_id,target_domain_id,target_concept_id,target_concept_name,target_standard_concept
chartevents,220045,Heart Rate,Heart Rate,mimiciv_meas_chart,Measurement,2000030001,Heart Rate,LOINC,Measurement,3027018,Heart rate,S
chartevents,220046,Heart rate Alarm - High,Heart rate Alarm - High,,,,,,,,,
chartevents,220047,Heart Rate Alarm - Low,Heart Rate Alarm - Low,,,,,,,,,
chartevents,220048,Heart Rhythm,Heart Rhythm,mimiciv_meas_chart,Measurement,2000030004,Heart Rhythm,LOINC,Measurement,21490871,Type of arrhythmia on EKG,S
chartevents,220050,Arterial Blood Pressure systolic,Arterial Blood Pressure systolic,,,,,,,,,
chartevents,220051,Arterial Blood Pressure diastolic,Arterial Blood Pressure diastolic,,,,,,,,,
chartevents,220052,Arterial Blood Pressure mean,Arterial Blood Pressure mean,,,,,,,,,
chartevents,220056,Arterial Blood Pressure Alarm - Low,Arterial Blood Pressure Alarm - Low,,,,,,,,,
chartevents,220058,Arterial Blood Pressure Alarm - High,Arterial Blood Pressure Alarm - High,,,,,,,,,
chartevents,220059,Pulmonary Artery Pressure systolic,Pulmonary Artery Pressure systolic,,,,,,,,,
chartevents,220060,Pulmonary Artery Pressure diastolic,Pulmonary Artery Pressure diastolic,,,,,,,,,
chartevents,220061,Pulmonary Artery Pressure mean,Pulmonary Artery Pressure mean,,,,,,,,,
chartevents,220063,Pulmonary Artery Pressure Alarm - High,Pulmonary Artery Pressure Alarm - High,,,,,,,,,
chartevents,220066,Pulmonary Artery Pressure Alarm - Low,Pulmonary Artery Pressure Alarm - Low,,,,,,,,,
chartevents,220069,Left Artrial Pressure,Left Artrial Pressure,,,,,,,,,
chartevents,220072,Central Venous Pressure Alarm - High,Central Venous Pressure Alarm - High,,,,,,,,,
chartevents,220073,Central Venous Pressure  Alarm - Low,Central Venous Pressure  Alarm - Low,,,,,,,,,
chartevents,220074,Central Venous Pressure,Central Venous Pressure,,,,,,,,,
chartevents,220088,Cardiac Output (thermodilution),Cardiac Output (thermodilution),,,,,,,,,
chartevents,220120,Intra Aortic Ballon Pump Setting,Intra Aortic Ballon Pump Setting,,,,,,,,,
chartevents,220125,Left Ventricular Assit Device Flow,Left Ventricular Assit Device Flow,,,,,,,,,
chartevents,220128,Right Ventricular Assist Device Flow,Right Ventricular Assist Device Flow,,,,,,,,,
chartevents,220179,Non Invasive Blood Pressure systolic,Non Invasive Blood Pressure systolic,,,,,,,,,
chartevents,220180,Non Invasive Blood Pressure diastolic,Non Invasive Blood Pressure diastolic,,,,,,,,,
chartevents,220181,Non Invasive Blood Pressure mean,Non Invasive Blood Pressure mean,,,,,,,,,
chartevents,220194,Temporary AV interval,Temporary AV interval,,,,,,,,,
chartevents,220210,Respiratory Rate,Respiratory Rate,mimiciv_meas_chart,Measurement,2000030002,Respiratory Rate,SNOMED,Measurement,4313591,Respiratory rate,S
chartevents,220218,Vital Capacity,Vital Capacity,,,,,,,,,
chartevents,220224,Arterial O2 pressure,Arterial O2 pressure,,,,,,,,,
chartevents,220227,Arterial O2 Saturation,Arterial O2 Saturation,,,,,,,,,
chartevents,220228,Hemoglobin,Hemoglobin,,,,,,,,,
chartevents,220235,Arterial CO2 Pressure,Arterial CO2 Pressure,,,,,,,,,
chartevents,220245,CO2 production,CO2 production,,,,,,,,,
chartevents,220274,PH (Venous),PH (Venous),,,,,,,,,
chartevents,220277,O2 saturation pulseoxymetry,O2 saturation pulseoxymetry,mimiciv_meas_chart,Measurement,2000030003,O2 saturation pulseoxymetry,LOINC,Measurement,40762499,Oxygen saturation in Arterial blood by Pulse oximetry,S
chartevents,220283,Resistance,Resistance,,,,,,,,,
chartevents,220292,Minute Volume Alarm - Low,Minute Volume Alarm - Low,,,,,,,,,
chartevents,220293,Minute Volume Alarm - High,Minute Volume Alarm - High,,,,,,,,,
chartevents,220339,PEEP set,PEEP set,,,,,,,,,
chartevents,220507,Activated Clotting Time,Activated Clotting Time,,,,,,,,,
chartevents,220541,ZFibrinogen,ZFibrinogen,,,,,,,,,
chartevents,220545,Hematocrit (serum),Hematocrit (serum),,,,,,,,,
chartevents,220546,WBC,WBC,,,,,,,,,
chartevents,220560,ZProthrombin time,ZProthrombin time,,,,,,,,,
chartevents,220561,ZINR,ZINR,,,,,,,,,
chartevents,220562,ZPTT,ZPTT,,,,,,,,,
chartevents,220574,ZAlbumin,ZAlbumin,,,,,,,,,
chartevents,220580,Ammonia,Ammonia,,,,,,,,,
chartevents,220581,Amylase,Amylase,,,,,,,,,
chartevents,220587,AST,AST,,,,,,,,,
chartevents,220602,Chloride (serum),Chloride (serum),,,,,,,,,
chartevents,220603,Cholesterol,Cholesterol,,,,,,,,,
chartevents,220611,ZCortisol,ZCortisol,,,,,,,,,
chartevents,220612,ZC Reactive Protein (CRP),ZC Reactive Protein (CRP),,,,,,,,,
chartevents,220615,Creatinine (serum),Creatinine (serum),,,,,,,,,
chartevents,220621,Glucose (serum),Glucose (serum),,,,,,,,,
chartevents,220624,HDL,HDL,,,,,,,,,
chartevents,220632,LDH,LDH,,,,,,,,,
chartevents,220635,Magnesium,Magnesium,,,,,,,,,
chartevents,220640,ZPotassium (serum),ZPotassium (serum),,,,,,,,,
chartevents,220644,ALT,ALT,,,,,,,,,
chartevents,220645,Sodium (serum),Sodium (serum),,,,,,,,,
chartevents,220650,Total Protein,Total Protein,,,,,,,,,
chartevents,220734,PH (dipstick),PH (dipstick),,,,,,,,,
chartevents,220739,GCS - Eye Opening,GCS - Eye Opening,,,,,,,,,
